,Dzień tygodnia,Pierwsze czytanie,Psalm_ref,Psalm,Drugie czytanie,Werset przed Ewangelią,Ewangelia
2019-01-23,Wednesday,"Melchizedek, the king of Shalem, the priest of God the Most High, went out to meet Abraham, returning after the defeat of the kings, and gave him a blessing. To him, Abraham also tithed tithing from all loot. His first name means the king of justice, and then also king Szalem, this is the king of peace. Without a father, without a mother, without pedigree, he has neither the beginning of his days nor the end of his life, but he is like a son of God forever. This is even more evident when, in the likeness of Melchizedek, another priest is established who has become so not according to the carnal provision of the Law, but according to the power of indestructible life. For he is given such a testimony: ""You are a priest forever after the example of Melchizedek.""","You are a priest, just like Melchizedek","The Lord said to my Lord, ""Sit on my right hand, until I will make Your enemies a footstool of Your feet."" The Lord will stretch the power of Thy scepter with Zion, ""Be thou strong with thy enemies, for thy rule, on the day of Thy triumph, in the light of holiness, from the womb of the dawn I bear you as dew."" The Lord has sworn and will not cancel it: ""You are a priest forever after the Melchizedek model.""",None,Jesus preached the gospel of the kingdom and healed all diseases among the people.,"On the Sabbath day, Jesus entered the synagogue. There was a man who had a withered hand. And they watched him whether he would heal him on the Sabbath to accuse Him. He said to a man with a withered hand: ""Get to the middle!"" He said to them, ""What is allowed on the Sabbath: to do something good or something bad? Save life or kill?"" But they were silent. Then, looking at them with anger, grieved over the hardening of their hearts, he said to the man: ""Hold your hand out!"" He stretched out, and his hand became healthy again. And the Pharisees went out, and with the supporters of Herod, they immediately consulted against Him, how to destroy Him."
2019-01-22,Tuesday,"It is not God's unrighteousness to forget about your deeds and the love that you showed for His name, when you were serving the saints and still serving. We would like each one of you to show the same zeal in perfecting hope until the end, so that you do not become lethargic, but imitate those who by faith and patience become heirs of promises. For when God made Abraham a promise, having no one greater to whom he could have sworn, he swore to himself, saying: ""I will bless you with generosity, and I will multiply you exceedingly."" And because Abraham waited so patiently, he received what was promised. People swear to someone higher, and the oath to find the truth is the end of any dispute between them. That is why God, wanting to show the heirs of promise beyond all limits, strengthened them with an oath, so that we would have a permanent comfort, two things that we can not lie to, that we have recovered to grasp the offered hope. Let us hold on to it as a safe and strong anchor that penetrates beyond the veil, where Jesus, as his predecessor, came in for us, becoming a high priest for ever after the Melchizedek model.",God remembers his covenant,"I will praise the Lord with all my heart in the council of the righteous and in the assembly. The works of the Lord are great, all those who love them have it to explore. He has made the memory of his miracles last, the Lord is merciful and gracious. He gave God-fearing food, he will remember forever of his covenant. He sent redemption to his people, he forever established his covenant, his name is holy and arouses fear, and his justice will last forever.",None,(Ephesians 1: 17-18 Let the Father of our Lord Jesus Christ penetrate our hearts with our light so that we may know what the hope of our calling is.,"Once, when Jesus passed on the sabbath among the grains, his disciples began to pick up the ears on the way. The Pharisees said to him, ""Look, why do they do what is not allowed on the Sabbath?"" He said to them, ""Have you never read what David did when he found himself in need and felt hunger, he and his companions?"" When he entered the house of God for Abiathar the high priest, he ate bread that only the priests could eat; and he also gave his companions. "" He added: ""This Sabbath was established for man, and not man for the Sabbath, so the Son of Man is also the Lord of the Sabbath."""
2019-01-21,Monday,"Every high priest, from among the people of the industry, for people is established in matters relating to God, that he may offer gifts and sacrifices for sins. He can sympathize with those who do not know and err because he is weak. And because of her, he should pay for the people as well as for himself to sacrifice for sins. And no one takes this dignity for himself, but only he who is called by God like Aaron. Likewise, Christ did not make himself famous by being a high priest, but he who said to him, ""You are my Son, I have begotten you today,"" as elsewhere: ""You are a priest forever. Melchizedek pattern. "" With loud cries and tears, for his earthly days, he would plead with great pleas and pleadings to him who could save him from death and was heard through his submission. And although he was a Son, he learned to obey through what he suffered. And when he did all things, he became the perpetrator of eternal salvation for all who listen to him, called by God a high priest like Melchizedek.","You are a priest, just like Melchizedek","The Lord said to my Lord, ""Sit on my right hand, until I will make Your enemies a footstool of Your feet."" The Lord will stretch the power of Thy scepter with Zion, ""Be thou strong with thy enemies, for thy rule, on the day of Thy triumph, in the light of holiness, from the womb of the dawn I bear you as dew."" The Lord has sworn and will not cancel it: ""You are a priest forever after the Melchizedek model.""",None,"The word of God is alive and effective, capable of judging the heart's desires and thoughts.","The disciples of John and the Pharisees were fasting. So they came to Jesus and asked, ""Why do the disciples of John and the disciples of the Pharisees fast, and let your disciples not fast?"" Jesus answered them, ""Can the wedding guests fast if they are married to them?"" They can not fast as long as they have the bridegroom among them, but the time will come when they take their bridegroom, and then, on that day, they will fast. Nobody sews patches from raw cloth into old clothes, otherwise the new patch will take some of the old clothes off and the tear will be worse. Nobody pours new wine into old wineskins, otherwise the wine will rip off the wineskins. Rather, young wine should be poured into new wineskins. """
2019-01-20,Sunday,"For the sake of Zion, I will not be silent, for the sake of Jerusalem I will not rest until her justice flashes like a dawn, and her salvation will not shine like a torch. Then the nations will see your justice and all your kings glory. And I will call you a new name which the lips of the Lord will name. You will be a beautiful crown in the hands of the Lord, a royal diadem in the hand of your God. They will not talk about you again, ""Abandoned"", they will not say ""Desolate"" about your land anymore. Rather, you name ""My delight in her"" and your land - ""Married"". For you have pleased the Lord and your land will receive a husband. For as a young man marries a virgin, your Builder will marry you, and as the bridegroom rejoices at the bride, so will your God rejoice.","Among the nations, proclaim the glory of the Lord","Sing to the Lord a new song, sing to the Lord, all the earth. Sing to the Lord, glorify his name. Every day, proclaim his salvation. Proclaim his glory among all nations, proclaim his wonders among all peoples. Give the Lord, families of nations, give praise to the Lord and acknowledge his power. Give praise to the Lord due to his name, bring the gifts and come to his court. Love the Lord in the holy tabernacle, shake the earth, before him. Proclaim among the peoples that the Lord is king, he will judge the peoples justly.","The gifts of grace are different, but the same Spirit; there are also different kinds of service, but one Lord; the actions are different, but the same God, the author of everything in everyone. All of them reveal the Spirit for the common good. To one is given by the Spirit the gift of the wisdom of the word, the other the gift of faith in that same Spirit, another gift of faith in that Spirit, another grace of healing by the same Spirit, another gift of miracles, another prophecy, another recognition of spirits, another gift of tongues and finally another grace of language translations. Everything is done by one and the same Spirit, giving to everyone as he wants.",God called us through the Gospel so that we would receive the glory of our Lord Jesus Christ.,"There was a wedding party in Cana Galilee, and the Mother of Jesus was there. The wedding party was also invited to Jesus and His disciples. And when the wine ran out, the mother of Jesus said to him, ""They have no wine."" Jesus said to her, ""Is it my or your cause, woman? Has not my hour yet come?"" Then His Mother said to the servants: ""Do whatever he tells you."" There were six stone waterpots for Jewish purifications, each of which could hold two or three measures. Jesus said to the servants, ""Fill the jars with water."" And they filled them to the brim. Then he said to them, ""Draw now and take it to the wedding gentleman."" So they carried it. When the wedding star tried the water which became the wine - and he did not know where it came from, but the servants who drew water, they knew - called the bridegroom and said to him: ""Every man puts a good wine first and when they drink, then worse, you have kept good wine until now. "" This is the beginning of the signs Jesus made in Cana of Galilee. He revealed his glory and his disciples believed in him."
2019-01-19,Saturday,"The word of God is alive, effective and sharper than any two-edged sword, penetrating to the separation of soul and spirit, joints and marrow, capable of judging the desires and thoughts of the heart. There is no creature that would be invisible to Him; on the contrary, everything is uncovered and exposed to the eyes of Him to whom we must pass the account. Therefore, having the great high priest who passed through the heavens, Jesus, the Son of God, let us continue strongly in the profession of faith. For we do not have a high priest who would not sympathize with our weaknesses, but who would be tested in all respects as we did - except for sin. Let us, therefore, move with confidence to the throne of grace, that we may experience mercy and find the grace of help at the right moment.","Your words, Lord, are spirit and life","The law of the Lord is perfect and comforts the soul, the Lord's testimony is certain, he teaches wisdom in hesitant. His righteous precepts rejoice in the heart, the Lord's commandment is radiant and his eyes are dazzling. The Lord's love is sincere and lasts forever, the judgments of the Lord true, all right together. Let the words of my mouth and the thoughts of my heart be appreciated by you, Lord, my Opoko and my Savior. The law of the Lord is perfect and comforts the soul, the Lord's testimony is sure, she learns wisdom in an unwise way. His righteous precepts rejoice in the heart, the Lord's commandment is radiant and his eyes are dazzling. The Lord's love is sincere and lasts forever, the judgments of the Lord true, all right together. Let the words of my mouth and the thoughts of my heart be appreciated before You, Lord, my Opoko and my Savior.",None,"The Lord sent me, that I would bring good news to the poor, and that freedom was given to prisoners.","Jesus went to the lake again. All the people came to Him and He taught him. And passing by, he saw Levi, son of Alphaeus, sitting in the customs chamber, and said to him: ""Follow me!"" He rose and followed Him. When Jesus sat in his house at the table, many tax collectors and sinners sat with Jesus and His disciples. For there were many who followed him. Some scribes from the Pharisees, seeing that he was with sinners and publicans, said to His disciples, ""Why do He eat them and drink with publicans and sinners?"" Jesus, hearing this, said to them, ""They do not need a physician healthy, but those who are ill, I have not come to call the righteous, but sinners."""
2019-01-18,Friday,"Let us be afraid when the promise of God's rest is still to be made, that one of you should not think that he is deprived of it. For we also received the good news, as well as the other, but the word that was heard was not helpful, because they were not united by faith with those who heard it. We are indeed entering the rest of us who believed, as the Lord said, ""Therefore I have sworn in my anger, They will not come to my rest,"" though works were made from the creation of the world. For God said in a certain place on the seventh day, saying, ""God rested on the seventh day after all his works."" And again there: ""They will not come to my rest"". Let us, therefore, hurry to enter this rest, that no one would follow the same example of disobedience.",Do not forget the great works of God,"What we have heard and learned and what our fathers told us will tell the future generation, the glory of the Lord and His power. This is to be understood by the future generation, sons who are born, that they are to hope in God and not forget God's works, but guard His commandments. Let not be like their fathers a generation of stubborn rebels, a generation whose heart is unstable, and the spirit is not faithful to God.",None,The great prophet rose among us and God visited his people.,"When Jesus returned to Capernaum after some time, it was heard that he was at home. So many people gathered that there was no place even before the door, and He preached to them the teachings. And they came to him with a paralyzed man who carried four. Not being able to bring him to him because of the crowd, they discovered the roof above the place where Jesus was, and through the hole they dropped the stretcher on which the paralyze lay. Jesus, seeing their faith, said to the paralytic, ""Child, your sins are forgiven."" And there sat a few scribes there who thought in their hearts, ""Why is he saying that? He blasphemes. Who can forgive sins except for one God?"" Jesus immediately knew in his spirit that they think so, and said to them, ""Why do these thoughts bother in your hearts?"" It is easier: to tell the paralytic: Your sins are forgiven, or say: Get up, take your litter and come on? so that you may know that the Son of Man has the power of forgiving sins on earth - he said to the paralytic: I tell you: Get up, take your litter and go to your home! "" He got up, took his stretcher right away and went out in front of everyone. They were all amazed and worshiped God saying, ""We have never seen anything like it before."""
2019-01-17,Thursday,"Proceed, as the Holy Spirit says: ""Today, if you hear his voice, do not harden your hearts as during a rebellion, a day of temptation in the desert, where my fathers tempted me, testing me, though they saw my works for forty years. to this generation and I said: They are always wandering in the heart, but they did not know my ways, and I swore in my anger, ""They shall not come to my rest."" Please, brethren, that there be no perverse heart of disbelief in one of us, which results in departing from the living God, but encourage each other every day while it lasts what is called ""today"" so that one of you will not be hardened by cheating sin. For we are co-participants of Christ, if we keep our original hope to the end.","Hear not the hearts of the Lord, harden your heart","Come, let us adore Him, falling on our faces, kneel before the Lord who created us. For he is our God, and we are his people of the pasture, and the sheep in his hand. To hear his voice today, ""Let not your hearts harden like in Meribah, as in the wilderness of Massa, where my fathers tempted me, and have experienced me. they have seen my works. Through the age of forty, this generation has disgusted Me, and I said, They are a lost heart, and they know my ways, and I swore in anger that they would not enter my land of rest. """,None,Jesus preached the gospel of the kingdom and healed all diseases among the people.,"One day, he came to the leper of Jesus and, falling on his knees, begged him: ""If you will, you can cleanse me."" And Jesus, taken down with pity, extended his hand, touched it and said to him, ""I want to be cleansed."" Immediately leprosy left him and he was cleansed. Jesus commanded him severely and immediately dismissed him, saying to him: ""Take heed that you say nothing to anyone, but go, show yourself to the priest and make for the purification of the sacrifice which Moses made for a testimony for them."" But after he left, he began to talk and spread what had happened, so that Jesus could not openly enter the city, but was in desert places. And people came to him from everywhere."
2019-01-16,Wednesday,"Because children have a share in their blood and body, Jesus also participated without any distinction in them, that through death he would defeat the one who wielded the power over death, that is, the devil, and to release those who, through fear of death, were subject to death. they were captives. For he does not take in the angels, but he takes the offspring of Abraham. That is why he had to become like brothers in all respects, that he would become a merciful and faithful high priest in what is related to God - for atonement for the sins of the people. Because he has suffered what he has tried, he can help those who are subject to her.",God remembers his covenant,"Praise the Lord, call upon His name, preach His work among the nations. Sing and play psalms for Him, proclaim all His miracles. Feel Himself with His holy name, let the hearts of those seeking the Lord rejoice. Think about the Lord and His power, always seek His face. Abraham the servants, His servants, the sons of Jacob, His chosen ones. He, the Lord, is our God, his judgments embrace the whole world. He remembers for ever about his covenant, the promise of a thousand generations, about the covenant that he made with Abraham the oath given to Isaac.",None,"My sheep hear my voice, I know them, and they follow me.","After leaving the synagogue Jesus came with James and John to the home of Szymon and Andrzej. Szymon's mother-in-law lay in a fever. They told him about him immediately. He came and picked her up, taking his hand, and the fever left her. And she served them. With the advent of the evening, when the sun set, all sick and possessed people were brought to Him; and the whole city gathered at the door. He healed many people affected by various diseases and threw away many evil spirits, but he did not let evil spirits speak because they knew Him. In the morning, when it was still dark, he got up, went out and went to a desert place, and prayed there. Simon and his companions followed him, and when they found him, they said to him, ""Everyone is looking for you."" But he said to them, ""Let us go somewhere else, to neighboring towns, that I may also teach there, for I have left for this."" And he went throughout Galilee, teaching in their synagogues and casting out demons."
2019-01-15,Tuesday,"God has not surrendered to the angels of the future world we are talking about. Someone confirmed it solemnly, saying, ""What is a man, that you remember him, or a son of man, that you care for him, you made him less than angels, praise him with glory and honor, and put everything under his feet."" Because he surrendered everything to him, he left nothing that would not have been subjected to him. Now, however, we do not yet see that everything is subject to Him. But we see Jesus, who was less than angels, less praise, glory and honor crowned for the torment of death, that he grace of death for every man by the grace of God. It has become for Him, for whom everything and through whom everything exists, which many sons bring to glory to guide the salvation of their salvation through suffering. For he who sanctifies, as those who are to be sanctified, all come from the One. For this reason he is not ashamed to call them his brothers, saying: ""I will declare your name to my brothers, in the midst of the congregation I will praise you.""",You gave the Son authority over his work,"O Lord, our Lord, how wonderful is Your name throughout the earth. What is a man, that you remember him, what son of man, that you care for him? You made him little less than angels, crowned him with reverence and glory. You gave him power over the works of your hands, and put all things under his feet: sheep and cattle of all kinds, and wild beasts, blue birds and sea-fishes, all that passes through the sea's paths.",None,"Accept the word of God not as a human word but as it is really, as the word of God.","In Capernaum, Jesus entered the synagogue on the Sabbath and preached. They were astonished at his teaching: he taught them as the one who has power, not as the scribes. A man possessed by an unclean spirit was in their synagogue. He began to cry, ""What do you want from us, Jesus Nazarene? You have come to lose us, I know who you are: God's Holy One."" But Jesus commanded him severely: ""Be silent and leave him!"" Then the unclean spirit began to throw it and with a loud cry came out of it. And everyone was amazed, so that one of the other asked: ""What is this? A new science with power. Even the unclean spirits command and obey him."" And soon news spread about Him everywhere throughout the entire region of the Galilee."
2019-01-14,Monday,"Many times and in various ways God spoke to our fathers through the prophets, and in these last days he spoke to us through the Son. He made him the heir of all things, and through him he created the universe. This Son, who is the reflection of His glory and the reflection of His being, sustains everything with the word of His power, and having purified His sins, He sat down at the right hand of the Majesty in Heights. He became so much greater than the angels, as long as he inherited a more noble name from them. For to which of the angels God has ever said: ""You are my Son, I have begotten you today""? And again: ""I will be my father, and he will be my Son""? And if he brings the firstborn again into the world, he will say, ""Let all the angels of God worship him.""","Pay homage to Him, all angels","The Lord reigns, be glad, earth, rejoice, many islands! Cloud and darkness around Him, righteousness and righteousness the foundation of His throne. His justice spread the heavens and all peoples see His glory. All deities pay homage to Him. Over all the earth, You are exalted and infinitely higher than all gods.",None,The kingdom of God is close. Repent and believe in the Gospel.,"When John was imprisoned, Jesus came to Galilee and preached the Gospel of God. He said: ""The time is fulfilled and the kingdom of God is close. Repent and believe in the Gospel!"" Passing by the Sea of ​​Galilee, he saw Szymon and his brother, Andrzej, as they threw the net into the lake; they were fishermen. And Jesus said to them, ""Follow me, and I will make you fishers of men."" And immediately, having abandoned the nets, they followed him. Going a little further, he saw James, son of Zebedee, and his brother John, who were also in the boat and repaired the nets. He called them, and they, leaving their father Zebedee, followed the mercenaries in the boat, followed him."
2019-01-13,Sunday,"This is what the Lord God says: ""Behold, I will send my angel to prepare the way before me, and then suddenly the Lord, whom you expect, and the Angel of the covenant you desire, will come to your temple, behold, the Lord of hosts will come, but who will survive his day? And he who shall stand when he shows up, for he is like the goldsmith's fire, and like the laund of the dyers, so he will sit as if he should melt and purify the silver, and cleanse the sons of Levi, and will devour them like gold and silver, and then they will offer the Lord sacrifice There shall be a pleasing sacrifice to Judah and Jerusalem, as in the days and years of the ancients. ""","Lord God of hosts, He is the King of glory","Gates, raise your peaks, stand out, eternal doors, so that the King of glory can enter. Who is the King of Glory? Lord, brave and powerful, Lord, powerful in battle. Brāhma ,a, raise your peaks, stand up, eternal doors, so that the King of glory can enter. Who is the King of Glory? Lord of hosts: He is the King of glory. Bless you, O my soul, my God, Lord, You are very great! clothed in majesty and beauty, light covered with a mantle. Humans are your chariot, you walk on the wings of the wind. The winds you use for your envoys, your servants fire and flames. How many works are yours, Lord! You have done all things wisely, the earth is full of Your creatures. Here is the sea, huge and wide, and in it a multitude of animals, great and small animals. All this is waiting for You to give them food at the right time. When you give them, collect them, when you open your hand, they will eat your good. When you take away their breath, they grow tired and turn to dust. You create them, fill with your spirit, and renew the face of the earth.","Because children are involved in blood and body, Jesus also became a participant without any difference, so that through death he would defeat the one who wielded the power over death, that is, the devil, and to release those who, throughout their lives, were subject to the fear of death they were captives. For he does not take in the angels, but he takes the offspring of Abraham. That is why he had to become like brothers in all respects, that he would become a merciful and faithful high priest before God for atonement for the sins of the people. In which he himself suffered while being experienced, in this he can come to help those who are subjected to trials.",Light on the enlightenment of the Gentiles and the glory of thy people Israel.,"When the days of the purification of Mary according to the Mosaic Law were passed, the parents brought Jesus to Jerusalem to present Him to the Lord. For thus it is written in the law of the Lord: ""Every firstborn male child shall be blessed with the Lord."" They were also to sacrifice a pair of turtledoves or two young pigeons, as prescribed by the Law of the Lord. And a man lived in Jerusalem, named Simeon. He was a just and pious man, he waited for Israel's consolation and the Holy Spirit rested on him. To him, the Holy Spirit revealed that he would not see death until he saw the Messiah of the Lord. After the Spirit's inspiration, he came to the temple. And when the Parents brought the Child Jesus to act with Him according to the custom of the Law, he embraced Him, blessed God and said: When the days of the purification of Mary according to the Mosaic Law were passed, the parents brought Jesus to Jerusalem to present Him to the Lord. For thus is it written in the law of the Lord, ""Now, Lord, allow your servant to leave in peace, according to your word, for my eyes have seen your salvation, which you have prepared for all nations: light for enlightenment of the Gentiles and for the glory of your people, Israel."" And his father and mother marveled at what was said about him. Simeon blessed them and said to Mary, his mother: ""This is he who is destined for the fall and rising of many in Israel and a sign that they will oppose. And your soul the sword will penetrate, let the thoughts of many hearts come to light."" There was also a prophetess Anna, daughter of Fanuela from the generation of Asher, she came very close in the years. She lived with her husband for seven years and remained a widow. It was already eighty-four years old. She did not part with the temple, serving God in fasts and prayers day and night. When she arrived at that moment, she praised God and spoke to him about all who were waiting for the liberation of Jerusalem. And when they had fulfilled everything according to the law of the Lord, they returned to Galilee, to their city, Nazareth. And the child grew and grew strong, filled with wisdom, and the grace of God rested upon him."
